id,name,lat,lon
1011,Bascharage,49.574,5.90563005
1021,Clemency,49.603,5.88867729
1031,Dippach,49.586,5.96746024
1041,Garnich,49.617,5.9378465
1051,Hobscheid,49.692,5.90107487
1061,Kehlen,49.674,6.0260159
1071,Koerich,49.668,5.95758653
1081,Kopstal,49.663,6.07601787
1091,Mamer,49.627,6.00302269
1093,Capellen,49.642,5.98714079
1101,Septfontaines,49.701,5.96441331
1111,Steinfort,49.653,5.92297309
2011,Bettembourg,49.511,6.10067623
2012,Noertzange,49.525,6.07554677
2021,Differdange-Centre,49.514,5.86640033
2022,Niedercorn,49.536,5.88927676
2023,Obercorn,49.515,5.89989392
2031,"Dudelange, Centre",49.486,6.08468726
2032,"Dudelange, Bujel/Wolkeschdall",49.489,6.10923624
2033,"Dudelange, Budersberg",49.491,6.07043286
2034,"Dudelange, Italien",49.466,6.08003908
2041,Esch-Gare,49.499,5.97837043
2042,Esch-Brill,49.482,5.9891295
2043,Esch-Op Sommet,49.503,5.96275357
2044,Esch-Lankelz,49.508,5.98942772
2045,Belval,49.504,5.94278528
2051,Frisange,49.514,6.19202577
2061,Kayl,49.477,6.02886307
2071,Leudelange,49.569,6.07020065
2081,Mondercange,49.532,5.97865243
2082,Bergem,49.532,6.03299458
2092,Rodange,49.546,5.84803549
2101,Reckange-sur-Mess,49.561,6.00390469
2111,Roeser,49.529,6.13169008
2121,Rumelange,49.462,6.0134603
2131,Sanem,49.553,5.9360342
2132,Belvaux,49.508,5.92206917
2133,Soleuvre,49.529,5.93636638
2141,Schifflange-Centre,49.503,6.01592497
3011,Eich-Weimerskirch-Pfaffenthal,49.631,6.12092636
3012,Limpertsberg,49.621,6.11858031
3013,Rollingergrund-Bel-Air,49.626,6.09652439
3014,Centre Ville,49.612,6.12642821
3015,Hollerich-Merl,49.601,6.09726096
3016,Cessange,49.585,6.09609282
3017,Gasperich,49.58,6.11719315
3019,Centre Gare,49.603,6.13182547
3020,Bonnevoie-Hamm,49.605,6.15664789
3021,Cents-Clausen,49.616,6.16508467
3022,"Kirchberg, West",49.624,6.14917953
3023,"Kirchberg, Ost",49.63,6.16989562
3024,Beggen-Dommeldange,49.643,6.13462368
4011,Bertrange,49.605,6.0443624
4021,Contern,49.589,6.25053426
4031,Hesperange,49.578,6.1757352
4032,Howald,49.577,6.13634475
4041,Niederanven,49.655,6.23950734
4043,Senningen,49.64,6.19955161
4051,Sandweiler,49.612,6.22000166
4061,Schuttrange,49.625,6.26758346
4071,Steinsel,49.667,6.17538987
4081,Strassen,49.633,6.0574522
4091,Walferdange,49.658,6.13428941
4101,Weiler-la-Tour,49.547,6.20029983
5011,Colmar,49.812,6.08428172
5021,Bissen,49.793,6.05416635
5031,Boevange-sur-Attert,49.757,6.01844734
5041,Fischbach,49.745,6.19109603
5051,Heffingen,49.769,6.24795834
5061,Larochette,49.78,6.19172241
5071,Lintgen,49.724,6.139616
5081,Lorentzweiler,49.702,6.14130356
5091,Mersch,49.742,6.09640797
5101,Nommern,49.799,6.15042334
5111,Tuntange,49.712,6.03947341
6031,Clervaux,50.051,6.0115959
6041,Consthum,49.975,6.05206655
6061,Heinerscheid,50.097,6.08717728
6071,Hosingen,50.013,6.08651778
6081,Munshausen,50.034,6.03713023
6091,Troisvierges,50.146,6.00534432
6101,Weiswampach,50.134,6.07215552
7011,Bastendorf,49.908,6.15314529
7021,Bettendorf,49.868,6.21077457
7031,Bourscheid,49.91,6.06451853
7041,Diekirch,49.867,6.15389841
7051,Ermsdorf,49.837,6.20873209
7061,Erpeldange,49.869,6.1141097
7071,EttelbrÅck,49.851,6.08983322
7081,Feulen,49.862,6.02806595
7091,Hoscheid,49.96,6.08125723
7101,Medernach,49.806,6.22588579
7111,Mertzig,49.837,6.00381528
7131,Schieren,49.829,6.12016121
8021,Beckerich,49.729,5.88591127
8031,Bettborn,49.801,5.93363988
8051,Ell,49.781,5.81776305
8071,Grosbous,49.84,5.94779334
8091,Redange-sur-Attert,49.778,5.89194937
8101,Saeul,49.727,5.97464677
8105,Charleville,49.698,4.67130523
8111,Useldange,49.769,5.96174189
8121,Vichten,49.809,5.99808434
8131,Wahl,49.851,5.8923337
8141,Rambrouch,49.84,5.81029853
9021,Putscheid,49.952,6.144804
9031,Vianden,49.937,6.20047193
10011,Boulaide,49.891,5.80335665
10021,Esch-sur-Sñre,49.9,5.93564445
10031,Eschweiler,49.999,5.93862676
10041,Goesdorf,49.933,5.97887245
10061,Heiderscheid,49.888,5.96520014
10071,Kautenbach,49.96,6.00512319
10091,Neunhausen,49.888,5.87699736
10111,Wiltz,49.96,5.92323545
10121,Wilwerwiltz,49.993,6.01160739
10131,Winseler,49.967,5.8547468
10141,Lac de la Haute-Sñre,49.931,5.8463649
11002,ANTWERPEN,51.101,5.00263107
11011,Beaufort,49.838,6.29572453
11021,Bech,49.752,6.3369867
11031,Berdorf,49.82,6.35844537
11041,Consdorf,49.773,6.33390897
11051,Echternach,49.8,6.41964864
11061,Mompach,49.752,6.44904401
11071,Rosport,49.794,6.48942579
11081,Waldbillig,49.793,6.27942967
12011,Betzdorf,49.671,6.30245753
12021,Biwer,49.708,6.35795645
12031,Flaxweiler,49.643,6.39991279
12041,Grevenmacher,49.676,6.41123033
12051,Junglinster,49.713,6.255368
12061,Manternach,49.722,6.40902018
12071,Mertert,49.718,6.4797129
12091,Wormeldange,49.628,6.38073831
13011,Bous,49.556,6.32962052
13021,Burmerange,49.495,6.31059283
13031,Dalheim,49.543,6.26241734
13041,Lenningen,49.605,6.32687211
13051,Mondorf-les-Bains,49.513,6.27370793
13061,Schengen,49.487,6.35326902
13071,Remich,49.548,6.35944862
13081,Stadtbredimus,49.575,6.35106001
13091,Waldbredimus,49.565,6.28774892
13131,Wellenstein,49.52,6.34295675
21231,DIJON,45.182,4.57822112
25056,Besanáon,47.289,6.239895
51108,Chalons,48.666,4.1118898
54029,Audun-le-Roman,49.361,5.83580989
54099,Briey-Jarny,49.147,5.87575895
54138,Cosnes-et-Romain,49.531,5.70705188
54270,Hussigny-Godbrange,49.498,5.84947659
54323,Longwy,49.51,5.76931229
54395,Nancy,48.696,6.21538714
54575,Villers-la-Montagne,49.439,5.79137255
54580,Villerupt,49.453,5.89831284
55029,Bar-le-Duc,48.746,5.34853944
57022,Angevillers,49.395,5.95879309
57038,Audun-le-Tiche,49.447,5.95719193
57076,Beyren-läs-Sierck,49.468,6.27819784
57124,Cattenom,49.392,6.2713857
57203,Evrange,49.465,6.1918713
57227,Forbach-Sarreguemines,49.017,7.01513207
57365,Kirschnaumen,49.404,6.47394632
57463,Metz,49.089,6.21287063
57498,Neufchef-Fameck,49.286,6.09241669
57529,Ottange,49.413,6.02934254
57531,Oudrenne,49.327,6.3660054
57565,RÇdange,49.489,5.92833063
57630,Sarrebourg,48.76,6.90371197
57650,Sierck-les-Bains,49.435,6.36903561
57672,Thionville,49.36,6.0958854
57731,Volmerange,49.432,6.06667439
57733,Volstroff,49.288,6.25570544
57764,Zoufftgen,49.442,6.12908504
62063,LI?GE,50.589,5.36649798
67482,STRASBOURG,48.593,7.53500699
68066,COLMAR,47.865,7.23154336
75056,PARIS,46.574,0.3823883
81001,Arlon,49.675,5.77812888
81003,Attert,49.747,5.75789778
81004,Aubange,49.576,5.77578979
81013,Martelange,49.857,5.69587126
81015,Messancy,49.616,5.80260546
82003,Bastogne,50.013,5.65304516
82014,Houffalize,50.149,5.75395658
82036,Vaux-sur-Sñre,49.94,5.61237498
82037,Gouvy,50.23,5.8866523
83034,Marche-en-Famenne,50.24,5.48429425
84043,NeufchÉteau,49.911,5.28715347
88160,EPINAL-CHAUMONT,48.133,5.95221619
5315001,KôLN,50.787,6.83873292
6412001,FRANKFURT,52.227,10.8727521
7111001,Koblenz,50.216,7.27143276
7211001,Trier,49.772,6.69702578
7232018,Bitburg,49.963,6.43737552
7232201,PrÅm,50.173,6.35396526
7235062,Kirf-Palzem,49.582,6.51587453
7235068,Konz,49.667,6.55813117
7235094,Newel,49.838,6.58709032
7235118,Saarburg,49.658,6.90800699
8212001,KARLSRUHE,48.666,10.8559004
10041100,SAARBRöCKEN,49.352,7.68870351
10042113,Merzig,49.414,6.73089384
10042115,Perl-Mettlach,49.499,6.50175004
